Typologie,Régime de vitesse,Voie,Arrondissement,Bois,Longueur du tronçon en m,latitude,longitude
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE DU COMMERCE,15.0,Non,87.92633775,48.84409207890453,2.293380347789903
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,RUE BERGER,1.0,Non,529.69012637,48.86144634862935,2.345894785886982
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,RUE DES INNOCENTS,1.0,Non,126.96543225,48.86046041147555,2.3475289590661257
Pistes cyclables,VOIE 50,QUAI D IVRY,13.0,Non,6.63720924,48.82517529257512,2.3885470936122104
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,RUE SAINTE-APOLLINE,2.0,Non,111.05429104,48.869096664626994,2.35311174255617
Bandes cyclables,VOIE 50,BOULEVARD POISSONNIERE,2.0,Non,18.19825601,48.870902418924615,2.3462262310999074
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE CANNEBIERE,12.0,Non,9.45553264,48.83839914611111,2.3985271045233123
Pistes cyclables,VOIE 50,AVENUE DAUMESNIL,12.0,Non,37.3051199,48.837036963431586,2.4023370200372516
Pistes cyclables,VOIE 50,BOULEVARD DES BATIGNOLLES,8.0,Non,139.8392954,48.88152917886254,2.3178608459030694
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE SPINOZA,11.0,Non,40.68396885,48.863474698443106,2.385745749061761
Bandes cyclables,ZONE 30,RUE DU FER A MOULIN,5.0,Non,54.55331906,48.839404982807764,2.3553266911537203
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,Rue Godefroy Cavaignac,11.0,Non,405.94704328,48.855636470444935,2.3808611829670188
Couloirs de bus ouverts aux vélos,VOIE 50,RUE D AMSTERDAM,8.0,Non,27.71464996,48.879628719683325,2.326984278181087
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD DES CAPUCINES,9.0,Non,108.53812015,48.870503310297515,2.33106238494791
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DE LA CLEF,5.0,Non,111.40113028,48.84169249021585,2.3526539490811866
