numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,pres,tend24,raf10,rafper,per,etat_sol,ht_neige,rr1,rr3,rr6,rr12,rr24,weighted_precip,pres_diff
7149,2021-01-01 00:00:00,100810,80,1,270,1.8,272.75,272.15,96,990,2,0.0,0.0,10.0,1.0,99680,470.0,2.5,2.5,-10,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1130
7149,2021-01-01 03:00:00,100920,110,3,300,1.7,271.25,270.95,98,210,40,0.0,0.0,25.0,1.0,99790,750.0,2.2,2.2,-10,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.4,1130
7149,2021-01-01 06:00:00,100950,30,3,290,2.6,271.95,271.65,98,3660,3,1.0,1.0,90.0,5.0,99820,900.0,3.2,3.2,-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1130
7149,2021-01-01 09:00:00,101100,150,2,280,1.7,272.45,272.05,97,3500,10,1.0,1.0,50.0,1.0,99970,860.0,2.3,2.3,-10,13.0,0.01,0.0,0.2,0.2,0.2,0.2,0.13333333333333333,1130
7149,2021-01-01 12:00:00,101110,30,0,50,1.0,276.95,274.15,82,8000,2,2.0,2.0,90.0,7.0,100000,790.0,2.5,4.4,-10,11.0,-0.01,0.0,0.0,0.2,0.2,0.2,0.16000000000000003,1110
7149,2021-01-01 15:00:00,101140,30,3,330,1.9,276.55,272.15,73,15000,1,2.0,2.0,90.0,7.0,100030,670.0,3.1,4.0,-10,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.12000000000000001,1110
7149,2021-01-01 18:00:00,101250,100,1,0,0.0,275.05,271.95,80,16580,0,2.0,2.0,100.0,1.0,100130,650.0,1.1,1.9,-10,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.04000000000000001,1120
7149,2021-01-01 21:00:00,101410,150,3,280,0.6,272.75,271.75,93,16000,3,1.0,1.0,90.0,7.0,100280,680.0,1.0,2.5,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,1130
7149,2021-01-02 00:00:00,101460,50,3,300,1.4,272.85,271.85,93,12000,1,2.0,2.0,60.0,5.0,100330,650.0,2.0,2.0,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,1130
7149,2021-01-02 12:00:00,101510,-70,8,330,1.9,276.75,273.45,79,9000,3,1.0,1.0,40.0,3.0,100390,390.0,3.4,3.4,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-02 15:00:00,101440,-60,6,330,2.4,277.45,273.95,78,8910,3,1.0,1.0,75.0,6.0,100330,300.0,5.6,5.6,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110
7149,2021-01-02 18:00:00,101480,30,2,270,1.6,275.05,274.05,93,5070,3,2.0,2.0,100.0,8.0,100360,230.0,2.0,4.7,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-02 21:00:00,101470,-20,8,220,0.9,274.55,273.85,95,2020,10,2.0,2.0,90.0,7.0,100340,60.0,1.5,1.5,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-03 00:00:00,101420,-40,8,220,0.8,274.65,274.05,96,1650,10,2.0,2.0,100.0,8.0,100300,-30.0,1.4,1.4,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-03 03:00:00,101410,-20,7,110,1.4,274.45,274.05,97,1040,10,2.0,2.0,100.0,8.0,100280,-90.0,1.9,2.4,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-03 06:00:00,101380,-20,5,0,0.0,274.65,274.25,97,1040,10,2.0,2.0,100.0,8.0,100260,-110.0,1.4,1.4,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-03 09:00:00,101440,60,3,70,0.9,275.25,274.35,94,5380,3,2.0,2.0,100.0,8.0,100320,-140.0,1.8,2.5,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-03 12:00:00,101430,-10,8,30,1.7,276.85,273.75,80,12000,3,2.0,2.0,90.0,7.0,100310,-80.0,3.2,4.4,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-03 15:00:00,101410,-20,5,30,3.5,276.55,272.85,77,12290,1,2.0,2.0,90.0,7.0,100290,-40.0,6.2,6.2,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-03 18:00:00,101420,10,3,20,4.6,276.45,273.15,79,10000,3,2.0,2.0,90.0,7.0,100300,-60.0,8.5,8.5,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-03 21:00:00,101460,40,2,40,4.3,275.65,274.05,89,5070,50,6.0,5.0,100.0,8.0,100340,0.0,6.6,7.8,-10,1.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.10000000000000002,1120
